"","klasifikasi","score","text"
"78","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"79","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"80","Positif",1,"although i know its important for the american public to know the truth i really hope joe biden isnt the big gu "
"81","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"82","Negatif",-1," why did joe bidens press secretary lie about this "
"83","Positif",1," breaking president biden announces that his administration will protect spirit mountain a sacred indigenous site in"
"84","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"85","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"86","Negatif",-1," is joe biden sleaze or is joe biden sleaze  metoo   usa auspol newspoll news lapto"
"87","Positif",2," she is a hero to those she injected why didnt they made a follow up on those that had saline instea "
"88","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"89","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"90","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"91","Negatif",-3," there is an overwhelming amount of evidence joe biden knew  and benefitted from  hunter bidens overseas business dea"
"92","Negatif",-2,"actually its maga republicans amp  joe manchin who killed paid sick leave for rail way workers  biden amp  most dems w "
"93","Netral",0," president trump worked for free joe biden is working for china"
"94","Netral",0," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
"95","Netral",0," should joe biden take a cognitive test "
"96","Netral",0," president trump worked for free joe biden is working for china"
"97","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"98","Netral",0,"  joe biden is scab"
"99","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"100","Positif",1," i cant find the video but just last week barack denounced kanye for saying crazy shit  but now after jones segregation "
"101","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"102","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"103","Positif",2,"  the th search result is the first one talking about joe biden it is from chuck g "
"104","Negatif",-2,"  laptop for a person not in office  hunter biden directly implicated in criminal enterprises "
"105","Negatif",-1,"newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his ca "
"106","Netral",0," president trump worked for free joe biden is working for china"
"107","Negatif",-2," breaking president biden vows to get rail workers paid sick leave in a separate bill says i think were going to ge"
"108","Negatif",-6," someone went back in time and killed hitler then they came back to the future and joe biden became the "
"109","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"110","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"111","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"112","Positif",1," retweet if you do not consider joe biden your president or leader"
"113","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"114","Negatif",-1," video  us president joe biden and first lady jill biden welcome french president emmanuel macron and his wife brigitte macron at"
"115","Negatif",-2,"    what about all the times he predicted wed soon all be dead "
"116","Negatif",-1," joe biden belongs in prison not the white house"
"117","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"118","Negatif",-1,"newt gingrich says republicans are underestimating president joe biden "
"119","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"120","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"121","Negatif",-1," why did joe bidens press secretary lie about this "
"122","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"123","Negatif",-1," number of sick days joe biden took for covid   number of parental leave days pete buttigieg took   number of guara"
"124","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"125","Positif",2,"  joe biden is the biggest child trafficker on the planet "
"126","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"127","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"128","Netral",0,"  joe biden is incapable of focusing on anything  hes an embarrassment"
"129","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"130","Netral",0," president trump worked for free joe biden is working for china"
"131","Negatif",-1," joe biden belongs in prison not the white house"
"132","Negatif",-3," if they truly do a bot purge joe biden will have  followers left"
"133","Positif",1," cant wait for investigation on joe biden"
"134","Negatif",-2," the republican party is starting to build up a head of steam the congressional inquiry into hunter bidens laptopfromhell"
"135","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"136","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"137","Negatif",-1," joe bidens family has been in the business of selling access and official favors to enemies of the united states and theyve"
"138","Negatif",-2,"you know who didnt accidentally invite a white nationalist and neonazi to the state dinner tonight joe biden "
"139","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"140","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"141","Negatif",-1," joe biden belongs in prison not the white house"
"142","Netral",0," should joe biden take a cognitive test "
"143","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"144","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"145","Negatif",-5," weird fact you can oppose putins war infowars gop nazi kanye fascist trump and also oppose joe biden and the dem"
"146","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"147","Negatif",-1," my friendsfellow americans and climate realistsjoe stop your decision based on the ipcc global warming  c report has i"
"148","Netral",0," joe biden has not been to the southern border"
"149","Negatif",-1," why did joe bidens press secretary lie about this "
"150","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"151","Netral",0,"   now do joe biden "
"152","Netral",0," joe biden firing thousands of brave service men and women for refusing the covid vaccine is wrong   it should be your choi"
"153","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"154","Netral",0,"  joe biden is antiunion"
"155","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"156","Negatif",-3," breaking president joe biden says democrats should move past restrictive caucuses and embrace diversity in the order of their pr"
"157","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"158","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"159","Positif",1," congress should not have to bail out joe bidens failed negotiations with railroad unions  so much for him being the m"
"160","Netral",0," is joe biden a dumb fuck"
"161","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"162","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"163","Negatif",-4,"you have to go back  years for this when joe biden says nothing about genocide amp  oppression in china and lets mil "
"164","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"165","Netral",0," joe bidens nonbinary nuclear agent fired for stealing luggage amp  going   via  ht"
"166","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"167","Netral",0," president trump worked for free joe biden is working for china"
"168","Positif",1," president joe biden reveals that the department of justice is investigating the  case of the missing renaissance visuals   t"
"169","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"170","Negatif",-1,"republicans plan  investigation of joe biden business deals  read more "
"171","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"172","Netral",0," president trump worked for free joe biden is working for china"
"173","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"174","Netral",0,"  joe biden is antiunion"
"175","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"176","Netral",0,"  not even joe biden wants dems to live in "
"177","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"178","Netral",0," president trump worked for free joe biden is working for china"
"179","Negatif",-1," remember that time that  states shut down vote counting until the middle of the night totally coincidentally and then jo"
"180","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"181","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"182","Negatif",-1," joe biden is once again showcasing weak leadership on the world stage   house republicans are united in standing with the"
"183","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"184","Negatif",-3,"  the real joe biden  bomb belgrade  take out their oil supply  send american pilots in and blow up all the bridg"
"185","Netral",0," president trump worked for free joe biden is working for china"
"186","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"187","Netral",0," president trump worked for free joe biden is working for china"
"188","Negatif",-3,"presidents joe biden and emmanuel macron are celebrating the longstanding usfrench relationship but these are "
"189","Negatif",-3,"presidents joe biden and emmanuel macron are celebrating the longstanding usfrench relationship but these are "
"190","Netral",0,"joe biden sent letter to club qs owners offering sympathy after the shooting lgbt  "
"191","Positif",2," biden just released a statement thanking the bipartisan effort to crush workers who were about to strike   "
"192","Netral",0," not even joe biden wants dems to live in    nhpolitics"
"193","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"194","Negatif",-2," st of all she lies all the time she lies her whole life and even nancy pelosi said in a news conferen "
"195","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"196","Netral",0," joe biden remembers where it all started "
"197","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"198","Netral",0," very much alive bernie sanders so is hillary barack obama joe biden nancy pelosi chuck schumer and elizabeth warr"
"199","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"200","Negatif",-3,"politics it appears that democrats in the house will work to pass what they can in the little time they have left "
"201","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"202","Negatif",-3,"   although if you are referring to joe biden as a fake president then you are correct sir"
"203","Negatif",-5,"weird fact you can oppose putins war infowars gop nazi kanye fascist trump and also oppose joe biden and the democrats unionbusting"
"204","Netral",0," moreover the  midterms proved joe biden was more popular than the pollsters political pundits and highpaid analy"
"205","Netral",0," not even joe biden wants dems to live in "
"206","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"207","Netral",0," exclusive tara reade calls gopmajority house to investigate alleged sexual assault by joe biden "
"208","Negatif",-1," justin trudeau boris johnson ursula leyen joe biden do not want you to see these protests against nato and united stat"
"209","Negatif",-1," joe biden belongs in prison not the white house"
"210","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"211","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"212","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"213","Negatif",-2," joe biden a dem controlled house and senate have sent the entire gdp of   to  in   taxpayer dollar "
"214","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"215","Netral",0," president trump worked for free joe biden is working for china"
"216","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"217","Netral",0," meanwhile here in the real world  joe biden abandons rail workers  "
"218","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"219","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"220","Negatif",-2,"  elon musk spends his own money to open free speech and people condemn him for it joe bid "
"221","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"222","Negatif",-1," remember that time that  states shut down vote counting until the middle of the night totally coincidentally and then jo"
"223","Netral",0,"not even joe biden wants dems to live in    nhpolitics "
"224","Negatif",-1," flashback hunters corruption implicates joe biden "
"225","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"226","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"227","Netral",0,"joe bidens nonbinary nuclear agent fired for stealing luggage amp  going   via "
"228","Netral",0," joe biden remembers where it all started "
"229","Netral",0," resident indians fyi  if joe biden doesnt give way to an ambulance  not just american news media but the entire populatio"
"230","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"231","Negatif",-1," joe biden belongs in prison not the white house"
"232","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"233","Positif",1," nothing speaks dictatorship of capital quite like joe biden seeking to mobilize congress to shut down a rail workers st"
"234","Negatif",-3," breaking a federal appeals court has blocked joe bidens mandate attempting to force christian doctors to kill babies in a"
"235","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"236","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"237","Netral",0," joe biden campaigned on  weeks of paid leave for all workers "
"238","Netral",0," president trump worked for free joe biden is working for china"
"239","Negatif",-4," the same people that think a man can be a woman and a woman can be a man and that joe biden actually "
"240","Netral",0," president trump worked for free joe biden is working for china"
"241","Netral",0," president trump worked for free joe biden is working for china"
"242","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"243","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"244","Netral",0," president trump worked for free joe biden is working for china"
"245","Negatif",-2," a federal appeals court on wednesday declined to put on hold a texas judges ruling that said president joe bidens plan to ca"
"246","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"247","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"248","Netral",0," president trump worked for free joe biden is working for china"
"249","Negatif",-1,"  joe biden is and always will be a wealthy mans best friend if there was ever a time for a general s"
"250","Netral",0,"   now do joe biden "
"251","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"252","Netral",0," whos side is joe biden on take action now   "
"253","Negatif",-3,"  the real joe biden  bomb belgrade  take out their oil supply  send american pilots in and blow up all the bridg"
"254","Netral",0," joe biden is  big fragment to the us constitution "
"255","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"256","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"257","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"258","Netral",0," just another lying liberal blaming republicans for joe bidens failure mr amtrak mr union has fai "
"259","Negatif",-2," the bills will win and this is what joe biden will look like "
"260","Negatif",-4,"if title  is lifted at the southern border the risk of foreign terrorist attack gos upgod forbid it happens in "
"261","Negatif",-2," he is two years younger than joe biden"
"262","Positif",2," biden just released a statement thanking the bipartisan effort to crush workers who were about to strike   "
"263","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"264","Negatif",-4,"biden ill talk to putin only if he agrees to end ukraine war   "
"265","Negatif",-2,"the supreme court kept president joe bidens studentloan relief plan on hold while agreeing to hear arguments like "
"266","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"267","Positif",1," pres biden wants south carolina to have the first nominating contest in  followed by nevada new hampshire then michiga"
"268","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"269","Netral",0," president trump worked for free joe biden is working for china"
"270","Positif",1," oh you liberalis have your heads up your asses joe biden is the biggest embarrassment this country has "
"271","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"272","Negatif",-2," no questions amp  dialogue regarding these  fucking racist  how bout them cowboys  fuck jerry jones amp  his cowboys   then"
"273","Netral",0," president trump worked for free joe biden is working for china"
"274","Positif",1," meanwhile at the white house north portico president joe biden and first lady jill biden welcome french president emmanuel ma"
"275","Positif",1," excited for the courts  decision holding that student loan relief is a major question reserved for the judiciary beca"
"276","Positif",1," meanwhile at the white house north portico president joe biden and first lady jill biden welcome french president emmanuel ma"
"277","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"278","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"279","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"280","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"281","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"282","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"283","Negatif",-3," joe biden he lies a lot and joe biden is a jim crow democrat "
"284","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"285","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"286","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"287","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"288","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"289","Negatif",-3," joe biden never expected to hear a top democrat senator say these two words about gun control "
"290","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"291","Negatif",-1," joe biden hit chipp player"
"292","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"293","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"294","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"295","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"296","Netral",0," president trump worked for free joe biden is working for china"
"297","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"298","Netral",0," exclusive tara reade calls gopmajority house to investigate alleged sexual assault by joe biden "
"299","Positif",1,"     a hole licker actually that best describes you joe want "
"300","Negatif",-3,"so joe biden is making our military vaccinate again hes weakening our military for his buddies in china hes a tra "
"301","Positif",1,"joe biden is uncle joe  obama so full of it "
"302","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"303","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"304","Negatif",-1," joe pinocchio biden come on folks how can we support joe pinocchio biden for two more years  "
"305","Negatif",-1," yet joe biden remains silent"
"306","Netral",0," president joe biden is hosting french president emmanuel macron for the first state dinner of his presidency follow newsweek"
"307","Negatif",-3,"joe biden never expected to hear a top democrat senator say these two words about gun control "
"308","Negatif",-1," do you guys ever deepthroat water bottles thinking theyre joe biden"
"309","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"310","Positif",2," truth that is gonna frustrate some rural folks joe biden is keeping your hospitals open not texas conservatives for whom"
"311","Positif",2," biden just released a statement thanking the bipartisan effort to crush workers who were about to strike   "
"312","Negatif",-1,"i have twitter notifications turned on for several of the actors i follow and a few other important figures but i "
"313","Netral",0," president trump worked for free joe biden is working for china"
"314","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"315","Negatif",-1," shame on you joe biden"
"316","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"317","Positif",1,"  ha you obviously didnt read the article from the first search result the second "
"318","Negatif",-2," joe biden and the suits on one side railroad workers on the other side easy call"
"319","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"320","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"321","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"322","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"323","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"324","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"325","Negatif",-4," i disagree and am glad joe biden has brought some civility back to the country it will take a long time "
"326","Netral",0," president trump worked for free joe biden is working for china"
"327","Netral",0," i love ron desantis but lets be honest my rooster could beat joe biden in a presidential race"
"328","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"329","Negatif",-2," joe biden and the suits on one side railroad workers on the other side easy call"
"330","Netral",0," joe biden has not been to the southern border"
"331","Negatif",-3," do you think joe biden and the democrats are behind ftx"
"332","Positif",2,"  yeah i still cant believe joe biden is president either"
"333","Negatif",-2," actions speak louder than words  no matter how kjp tries to spin it joe bidens actions show us that he is proillegal i"
"334","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"335","Negatif",-2," when you speak out for freedom that terrifies the tyrants in china russia iran and venezuela  but what does joe biden do"
"336","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"337","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"338","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"339","Negatif",-2," has joe biden cured cancer yet"
"340","Netral",0," joe biden has not been to the southern border"
"341","Netral",0," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
